"Fast Link for toolbox to hear voiceline ",,,"https://aceship.github.io/AN-EN-Tags/akhrchars.html",,"Please update the Translate Progress after finished editting",,
"char_236_rope","Rope","戳一下","Poke","呃，有谁来抓我了吗！",,,
"char_236_rope","Rope","信赖触摸","Poke with Trust Bubble","其实我也想学一学如何做个普通的女孩子的。可是吧，唉，那样是不是不太适合我呢？",,,
"char_236_rope","Rope","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_236_rope","Rope","问候","Greeting","嗨，博士。",,,
"char_237_gravel","Gravel","任命助理","Assign Secretary","啊~啊~~要让我守在您身边吗？这样的指示~真是令我心跳加速呢~~",,,
"char_237_gravel","Gravel","交谈1","Conversation 1","......真是有意思呢。",,,
"char_237_gravel","Gravel","交谈2","Conversation 2","不用管我哦，请继续您的工作就好~",,,
"char_237_gravel","Gravel","交谈3","Conversation 3","嗯？我在看什么？在看你哟。",,,
"char_237_gravel","Gravel","晋升后交谈1","Elite Promotion Conversation 1","如果您需要的话，我也会尽力去变强的~",,,
"char_237_gravel","Gravel","晋升后交谈2","Elite Promotion Conversation 2","嘻嘻......这样一来，您就不必担心会受到突然袭击了哦~因为——我可一直在你的身边呐~",,,
"char_237_gravel","Gravel","信赖提升后交谈1","High Trust Conversation 1","您也稍微对我有些兴趣了吗？我可是一直对您很感兴趣呢。",,,
"char_237_gravel","Gravel","信赖提升后交谈2","High Trust Conversation 2","最近这段时间承蒙您照顾了，以卡西米尔骑士之名起誓，必定以身回报此恩......唔，不习惯？我怎么说也是正规骑士出身，说辞总是学过几句的呢。",,,
"char_237_gravel","Gravel","信赖提升后交谈3","High Trust Conversation 3","自从我被拐到卡西米尔后，已经很久没人对我这样温柔了。所以您若是不嫌弃，以骑士的荣耀起誓，我砾，不，我塞诺蜜将永远侍奉于您左右。",,,
"char_237_gravel","Gravel","闲置","Idle","我守在这里，有没有让你感到心跳加速呢？",,,
"char_237_gravel","Gravel","干员报到","Operator Reporting In","啾——嗯？怎么脸红了？这只是初见的问候，可没什么其他的意思哦。那么，卡西米尔骑士砾，就请您多有包涵啦，嘻嘻。",,,
"char_237_gravel","Gravel","观看作战记录","Watching Combat Tape","罗德岛的战术都是博士您安排的吗？这就令人很感兴趣了呢......",,,
"char_237_gravel","Gravel","精英化晋升1","Elite 1","这是博士您的认可吗？真开心！！",,,
"char_237_gravel","Gravel","精英化晋升2","Elite 2","这是意味着您很需要我对吧？嘻嘻......",,,
"char_237_gravel","Gravel","编入队伍","Assign to Team","一起行动吗？嘻嘻......",,,
"char_237_gravel","Gravel","任命队长","Assign to Team Leader","被选中了呢~",,,
"char_237_gravel","Gravel","行动出发","Operation Sortie","我们一起去吧~",,,
"char_237_gravel","Gravel","行动开始","Operation Start","嘻嘻......",,,
"char_237_gravel","Gravel","选中干员1","Selected Operator 1","嗯？",,,
"char_237_gravel","Gravel","选中干员2","Selected Operator 2","您有指示？",,,
"char_237_gravel","Gravel","部署1","Deploy 1","就这里了！",,,
"char_237_gravel","Gravel","部署2","Deploy 2","是个好阵地。",,,
"char_237_gravel","Gravel","作战中1","In Combat 1","我是你的影子。",,,
"char_237_gravel","Gravel","作战中2","In Combat 2","嘻嘻......",,,
"char_237_gravel","Gravel","作战中3","In Combat 3","你走得了吗？",,,
"char_237_gravel","Gravel","作战中4","In Combat 4","鼠群，聚集起来吧！",,,
"char_237_gravel","Gravel","4星结束行动","Complete Operation with 4 stars","您的战术真的是完美无缺呢~",,,
"char_237_gravel","Gravel","3星结束行动","Complete Operation with 3 stars","刀还没染红就结束了，嘻嘻......",,,
"char_237_gravel","Gravel","非3星结束行动","Complete Operation with 2 stars","逃吧，你们还能逃多远呢。",,,
"char_237_gravel","Gravel","行动失败","Failed Operation","对不起，我......又失误了吗......",,,
"char_237_gravel","Gravel","进驻设施","Assign to Station","这个房间，好像有很多可以躲藏的地方呢~",,,
"char_237_gravel","Gravel","戳一下","Poke","嘻嘻......",,,
"char_237_gravel","Gravel","信赖触摸","Poke with Trust Bubble","是的，我在这里，一直都在呢.......",,,
"char_237_gravel","Gravel","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_237_gravel","Gravel","问候","Greeting","今天还好吗，博士~",,,
"char_240_wyvern","Vanilla","任命助理","Assign Secretary","等候您的命令，博士。",,,
"char_240_wyvern","Vanilla","交谈1","Conversation 1","生化小组的两位前辈也在这里？那......以后能把我分配到前辈们的行动组吗？",,,
"char_240_wyvern","Vanilla","交谈2","Conversation 2","呼哈......呼哈......再做三组体能训练......今天的锻炼就完成了......一半......博士......麻烦您帮我......拿下水壶......",,,
"char_240_wyvern","Vanilla","交谈3","Conversation 3","想问我家乡的情况？那是片......残酷的荒漠，每天光是活着就很累了。和那里比起来，罗德岛就是天堂啊。",,,
"char_240_wyvern","Vanilla","晋升后交谈1","Elite Promotion Conversation 1","比起在黑钢实习的时候，我变得更强了。",,,
"char_240_wyvern","Vanilla","信赖提升后交谈1","High Trust Conversation 1","黑钢的第二十二条规定：“武器离身者一律辞退”，所以我一直随身带着我的斧枪。唉？平时不用？但我记得......稍等......“此规定仅限入职训练与契约中干员。”......芙兰卡小姐为什么没提醒我呢......",,,
"char_240_wyvern","Vanilla","信赖提升后交谈2","High Trust Conversation 2","杜宾教官太残忍了！为什么只有我要面对活生生的源石蜗牛呢！我，我真的下不了手啊！",,,
"char_240_wyvern","Vanilla","信赖提升后交谈3","High Trust Conversation 3","我想......我明白芙兰卡和雷蛇呆在罗德岛的原因了。可能和黑钢相比，这里更像个家吧。除了任务之外，居然还有那么多有趣的东西......",,,
"char_240_wyvern","Vanilla","闲置","Idle","嘘，安静点，别打扰博士休息。",,,
"char_240_wyvern","Vanilla","干员报到","Operator Reporting In","香草，以受训干员的身份前来学习。博士阁下，今后就请您多多指教了。",,,
"char_240_wyvern","Vanilla","观看作战记录","Watching Combat Tape","是时候整理笔记了，新知识得赶紧消化掉。",,,
"char_240_wyvern","Vanilla","精英化晋升1","Elite 1","这是......晋升勋章？给我的？谢，谢谢！",,,
"char_240_wyvern","Vanilla","编入队伍","Assign to Team","香草会助大家一臂之力的！",,,
"char_240_wyvern","Vanilla","任命队长","Assign to Team Leader","我的话，真的可以吗？",,,
"char_240_wyvern","Vanilla","行动出发","Operation Sortie","我会加倍努力的。",,,
"char_240_wyvern","Vanilla","行动开始","Operation Start","不能给黑钢的各位丢脸！",,,
"char_240_wyvern","Vanilla","选中干员1","Selected Operator 1","嗯？",,,
"char_240_wyvern","Vanilla","选中干员2","Selected Operator 2","我会听从命令。",,,
"char_240_wyvern","Vanilla","部署1","Deploy 1","好的。",,,
"char_240_wyvern","Vanilla","部署2","Deploy 2","明白。",,,
"char_240_wyvern","Vanilla","作战中1","In Combat 1","不会让你过去！",,,
"char_240_wyvern","Vanilla","作战中2","In Combat 2","这把斧头可不是装饰品！",,,
"char_240_wyvern","Vanilla","作战中3","In Combat 3","战斗可不仅仅是依靠经验！",,,
"char_240_wyvern","Vanilla","作战中4","In Combat 4","接下我这一击吧！",,,
"char_240_wyvern","Vanilla","4星结束行动","Complete Operation with 4 stars","呼，大圆满！",,,
"char_240_wyvern","Vanilla","3星结束行动","Complete Operation with 3 stars","很成功的作战。",,,
"char_240_wyvern","Vanilla","非3星结束行动","Complete Operation with 2 stars","如果再努力些的话，结果会更好点吧。",,,
"char_240_wyvern","Vanilla","行动失败","Failed Operation","我......能力还不够......",,,
"char_240_wyvern","Vanilla","进驻设施","Assign to Station","听从您的指挥。",,,
"char_240_wyvern","Vanilla","戳一下","Poke","唉唉？",,,
"char_240_wyvern","Vanilla","信赖触摸","Poke with Trust Bubble","博士，要一起吃晚饭吗？",,,
"char_240_wyvern","Vanilla","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_240_wyvern","Vanilla","问候","Greeting","博士，早。",,,
"char_241_panda","FEater","任命助理","Assign Secretary","真的只能这样站着吗？不可以做其他事情？好~无~聊~啊~",,,
"char_241_panda","FEater","交谈1","Conversation 1","这个拳甲真的不重哦，你看，我一个女孩子也能轻松带在身上的东西，能沉到哪里去嘛。",,,
"char_241_panda","FEater","交谈2","Conversation 2","和我并肩作战过？唔，我不记得了——行侠仗义本来就是我的职责嘛~",,,
"char_241_panda","FEater","交谈3","Conversation 3","哈，那个叫猎蜂的拳手，真的很厉害！忍不住让人使出真拳脚呢。她收藏的蜂蜜也很好吃！博士下次也一起去吧！不过，先得学会如何打拳才行哦。",,,
"char_241_panda","FEater","晋升后交谈1","Elite Promotion Conversation 1","在看电影期刊？......嗯？没错啊，这篇报道里的当红功夫影星就是我本人~唉~？不信？呜哇，你看，这不就是我的脸吗？！为什么不信！",,,
"char_241_panda","FEater","晋升后交谈2","Elite Promotion Conversation 2","脱离过去的生活有没有什么遗憾？当然有啦。这个世界对感染者很严厉，有许多地方我都再也去不了，真可惜。",,,
"char_241_panda","FEater","信赖提升后交谈1","High Trust Conversation 1","附近的城市有小吃街呢。这边是糖果店？好像也不错。哦？游乐场？！博士博士，我能请一天假出去玩吗！",,,
"char_241_panda","FEater","信赖提升后交谈2","High Trust Conversation 2","对罗德岛的生活满不满意，呀，嘛，说实话......比电影本身都有趣！！有人切磋，有地方吃好吃的，工作就是行善！太完美了！",,,
"char_241_panda","FEater","信赖提升后交谈3","High Trust Conversation 3","博士，你看这个剧本怎么样！嗯？主演？是你和我啦。其中有一幕是我们从三十楼上跳下来然后滑行，超酷的！喂！别走啊！等一下！",,,
"char_241_panda","FEater","闲置","Idle","博士在小憩，我也稍微偷个懒好了，唔......沙发......好软......",,,
"char_241_panda","FEater","干员报到","Operator Reporting In","以前在哪儿见过我？那肯定是在银幕上啦~不过现在的我叫食铁兽呢，以后的工作安排就麻烦你了哦。",,,
"char_241_panda","FEater","观看作战记录","Watching Combat Tape","没有了？再看一会儿嘛，马上就要到最精彩的部分了！",,,
"char_241_panda","FEater","精英化晋升1","Elite 1","晋~升~，欸嘿嘿，谢谢~",,,
"char_241_panda","FEater","精英化晋升2","Elite 2","机会难得，就让你见识见识真正的拳法吧！",,,
"char_241_panda","FEater","编入队伍","Assign to Team","好！是时候大显身手了！",,,
"char_241_panda","FEater","任命队长","Assign to Team Leader","唉唉，当队长吗？我不是很擅长哦！",,,
"char_241_panda","FEater","行动出发","Operation Sortie","这一战一定会很精彩！",,,
"char_241_panda","FEater","行动开始","Operation Start","在下食铁兽，请赐教！",,,
"char_241_panda","FEater","选中干员1","Selected Operator 1","嗯嗯。",,,
"char_241_panda","FEater","选中干员2","Selected Operator 2","要上了！",,,
"char_241_panda","FEater","部署1","Deploy 1","好！",,,
"char_241_panda","FEater","部署2","Deploy 2","大展拳脚咯！",,,
"char_241_panda","FEater","作战中1","In Combat 1","咿~~~呀！",,,
"char_241_panda","FEater","作战中2","In Combat 2","这可是我电影里的经典桥段！",,,
"char_241_panda","FEater","作战中3","In Combat 3","曲中生直，柔能生刚！",,,
"char_241_panda","FEater","作战中4","In Combat 4","就算是电影明星，也是有真功夫的！",,,
"char_241_panda","FEater","4星结束行动","Complete Operation with 4 stars","喔，哇哦，结束了吗！",,,
"char_241_panda","FEater","3星结束行动","Complete Operation with 3 stars","这就完了？我热身还没做好呢。",,,
"char_241_panda","FEater","非3星结束行动","Complete Operation with 2 stars","别想那么多啦，受点伤没什么大不了的。",,,
"char_241_panda","FEater","行动失败","Failed Operation","不行......好想回家睡觉......",,,
"char_241_panda","FEater","进驻设施","Assign to Station","还挺时髦的嘛！",,,
"char_241_panda","FEater","戳一下","Poke","唉唉！头会昏的！",,,
"char_241_panda","FEater","信赖触摸","Poke with Trust Bubble","嘿嘿，博士，想不想要我的签名？附赠我们两个的合照哦！",,,
"char_241_panda","FEater","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_241_panda","FEater","问候","Greeting","博士！有没有好好吃早饭呢！",,,
"char_242_otter","Mayer","任命助理","Assign Secretary","建筑设计，工业研发，科学研究，只要博士想得到的，我都能做到。",,,
"char_242_otter","Mayer","交谈1","Conversation 1","工程部的人每次都不认可我的提案，是不是不喜欢我啊，怎么办......对了博士，你去代我提交下这份改进意见吧！就这么定了！",,,
"char_242_otter","Mayer","交谈2","Conversation 2","莱茵生命里像我这样的工作室还有很多啦，但别的工作室三周才能完成一半的任务，我一周就能搞定。这可不是在吹牛哦。",,,
"char_242_otter","Mayer","交谈3","Conversation 3","我做研究的时候千万别打扰我，我是会让咪波咬你的！我自己也会！",,,
"char_242_otter","Mayer","晋升后交谈1","Elite Promotion Conversation 1","晚上总是会很有灵感呢......但又......非常困！不，不行了，枕头在哪......我要休息一下......",,,
"char_242_otter","Mayer","晋升后交谈2","Elite Promotion Conversation 2","嗯？你想问为什么它们叫咪波？咪波是它的启动音效嘛，我觉得挺合适的。不像？那你可以摁下这个开关——等等！不是那个！那是自毁———呜啊啊啊，快跑！！",,,
"char_242_otter","Mayer","信赖提升后交谈1","High Trust Conversation 1","刚刚走过去的......是赫默吧。如果那时候......喔，抱歉，保密协议还没过期，我不该多嘴的。",,,
"char_242_otter","Mayer","信赖提升后交谈2","High Trust Conversation 2","闲下来就只会感到空虚呢......工程师就是这样的人啦。博士也会无所事事吗？不会？",,,
"char_242_otter","Mayer","信赖提升后交谈3","High Trust Conversation 3","博士，我能申请——不是！不用十平米！上次是我不对，这回——三平米就够了！别，别跑啊博士！一平米实用科研面积也行！求你了！",,,
"char_242_otter","Mayer","闲置","Idle","哈啊......咖啡机在哪里......呼，博士你也要来点儿吗",,,
"char_242_otter","Mayer","干员报到","Operator Reporting In","莱茵生命所属，鲁特拉工作室，竭诚为您服务。是的，没有其他成员，我一人就是整个工作室。很厉害吧！",,,
"char_242_otter","Mayer","观看作战记录","Watching Combat Tape","这个结构——有些意思，我得研究一下。",,,
"char_242_otter","Mayer","精英化晋升1","Elite 1","这次涨薪可真是及时，我又能升级一下设备了。",,,
"char_242_otter","Mayer","精英化晋升2","Elite 2","我向您保证过一定能出成果，现在，怎么样，是不是很令人满意呀~",,,
"char_242_otter","Mayer","编入队伍","Assign to Team","咪波们，该上场咯！",,,
"char_242_otter","Mayer","任命队长","Assign to Team Leader","要同时指挥大家和咪波，就算是我也有点手忙脚乱......！",,,
"char_242_otter","Mayer","行动出发","Operation Sortie","这次也能得到良好的实验数据吧！",,,
"char_242_otter","Mayer","行动开始","Operation Start","上吧咪波，给敌人看看我们莱茵生命的技术力！",,,
"char_242_otter","Mayer","选中干员1","Selected Operator 1","呜哇！",,,
"char_242_otter","Mayer","选中干员2","Selected Operator 2","小心，小心一点！",,,
"char_242_otter","Mayer","部署1","Deploy 1","轻拿轻放！",,,
"char_242_otter","Mayer","部署2","Deploy 2","精密仪器是很贵重的！",,,
"char_242_otter","Mayer","作战中1","In Combat 1","去吧，咪波三号！",,,
"char_242_otter","Mayer","作战中2","In Combat 2","咪波，咬他！",,,
"char_242_otter","Mayer","作战中3","In Combat 3","身体破损的话，再造一个就好了！",,,
"char_242_otter","Mayer","作战中4","In Combat 4","我的咪波们可不仅仅是机械那么简单！",,,
"char_242_otter","Mayer","4星结束行动","Complete Operation with 4 stars","来~咪波！给大家跳支舞庆祝一下！",,,
"char_242_otter","Mayer","3星结束行动","Complete Operation with 3 stars","嗯，就这样轻轻松松碾压敌人吧。",,,
"char_242_otter","Mayer","非3星结束行动","Complete Operation with 2 stars","设备稍微有些缺损，修理一下就能继续工作了。",,,
"char_242_otter","Mayer","行动失败","Failed Operation","不！咪波——！......只，只能再造几台身体了......",,,
"char_242_otter","Mayer","进驻设施","Assign to Station","我想要个新的工作室了！",,,
"char_242_otter","Mayer","戳一下","Poke","呜哇！我还在工作中啊！",,,
"char_242_otter","Mayer","信赖触摸","Poke with Trust Bubble","博士，让我摸摸你的头，会很有灵感的！",,,
"char_242_otter","Mayer","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_242_otter","Mayer","问候","Greeting","博士！你好！",,,
"char_263_skadi","Skadi","任命助理","Assign Secretary","为了你的安全着想，最好离我两米以上，也不要和我说话......我可不想你被冲着我来的危险伤到。","For your own sake, you should not come within 2 meters of me, and of course do not speak to me … I don’t want you to get hurt because of me.","あなたのために言っておくけど、私からは少なくとも2メートル以上離れることね、もちろん話しかけてくるのもなし……危険な目に遭わせるわけにはいかないから。",
"char_263_skadi","Skadi","交谈1","Conversation 1","看过我的履历了？我的过去可是很糟糕的。嗯，让我呆在身边，不仅你会被卷入麻烦，我也会很难办的。","Did you read my profile? It doesn’t look pretty, right? Well, if I stay near you, not only will you be put in danger, but it will also create more headaches for me.","私の履歴書は見た？散々だったでしょ。そうね、私をそばに置くと、あなたは面倒事に巻き込まれることになるだろうし、私だって困るのよ。",
"char_263_skadi","Skadi","交谈2","Conversation 2","我的头发很长，很好看？啊，嗯，谢谢......要不要摸摸看？我的头发还是挺柔软的。这方面，我还算是有些自信的哦。","My hair looks long and beautiful? Well, thank you … Do you want to touch it? It should feel soft and silky, and I do take good care of it.","私の髪が長くてきれいですって？まぁ、そうね、ありがとう……触ってみる？柔らかくてさらさらのはずだから。これにはちょっと自信があるの。",
"char_263_skadi","Skadi","交谈3","Conversation 3","我没看错吧？那个人，现在叫幽灵鲨是吗，怎么穿成了修女的样子？失忆了？这可麻烦了......Dr.{@nickname}，你得帮帮她，可不能让她忘记自己真正的职责。","Is that … Never mind, she just called herself Specter. Why is she dressed like a nun? You lost your memories and don’t remember? Well that complicates things … Doctor, you should watch her more closely. You cannot let her stray from her actual purpose here.","あれはもしかして、いや、今はスペクターと名乗ってるんだったわね、シスターの格好なんてして 一体どういうつもり？記憶がない？それは厄介ね…ドクター、彼女には気を払っておいてね、自分の本当の役目を忘れるなんてダメに決まってるわ。",
"char_263_skadi","Skadi","晋升后交谈1","Elite Promotion Conversation 1","你这人，怎么这么执着，这样我不就只能老老实实保护你了吗。","You are really stubborn. What am I supposed to do now other than to protect you with everything I have.","まったくあなたという人は、本当に頑固ね、これじゃ私もう全力であなたを守るしかないじゃない。",
"char_263_skadi","Skadi","晋升后交谈2","Elite Promotion Conversation 2","远方浩瀚蓝色与轻抚土地的白色碎片之下，埋葬着原本我所在乎的一切。我很害怕，害怕厄运会再次夺走我重要的人，所以我才会选择逃离，我不希望我珍视的人......因我而受伤。","The vast infinite sky, and the glistening waves gently caressing the sand … Buried below it lies everything I once loved. I’m scared. Terrified that a catastrophe might rip away the people I hold dear from me once more. That’s why I chose to run away … So no one will get hurt around me again.","遠方へ広がる青、優しく砂を撫でる白ききらめき、その下には、かつて私が愛したすべてが眠っている。怖い？厄災がまた私の大切な人を奪っていくの、だから逃げることを選んだの、みんなが…私のせいで傷つかないように。",
"char_263_skadi","Skadi","信赖提升后交谈1","High Trust Conversation 1","好，又度过了轻松的一天！没有会卷走队友的巨大触须，也没有蹲在角落里满手是血的疯狂敌人......光是上上战场什么的，对，已经很轻松了！","Alright, today was peaceful as well! There were no gigantic tentacles that swept our friends away, nor were there blood-soaked berserk monsters hiding in ambush … It does put me at ease when showing up on the battlefield is all I have to do.","よし！今日もまた平和な一日だったわね。仲間を巻きこむ巨大な触角もなければ、影に隠れた両手血まみれの狂ったモンスターもいない……戦場に出るだけなら、そうね、気が楽だわ。",
"char_263_skadi","Skadi","信赖提升后交谈2","High Trust Conversation 2","根据传说，我的族裔已经和那些灾祸战斗了无数年。说不定，我们也帮你们这些城市人把灾祸挡在了陆地之外......所以说，是不是该请我喝一杯，好好谢谢我？","According to the legend, my kind had resisted against that catastrophe for a very long time. What if it was also us who stopped it before it reached everyone living in the city? … If that were the case, shouldn’t you buy me a drink as thanks?","伝説によると、私の一族はあの厄災と長きにわたって戦ってきたというわ。もしかすると私たちが、街に住むあなたたちに迫る厄災を陸の外に食い止めていたのかもしれないわね……だとしたら、私に一杯ご馳走して、感謝の気持ちを示すべきなんじゃないかしら？",
"char_263_skadi","Skadi","信赖提升后交谈3","High Trust Conversation 3","当你历经漫长黑暗、终于浮出海面——睁开眼睛的刹那，灿烂星空滴落眼眶、无垠波浪拂过面颊，眼泪和家的味道，都是咸的。相比下，罗德岛的浴缸真是又窄又浅......我一定得带你去试试才行。","I pull myself away from the boundless darkness, and finally I break through the surface of the sea—the stars in the night sky trying to outshine one another as I open my eyes, the waves caressing my cheeks as my tears flow past my lip, reminiscent of the taste of home. Compared to that, Rhodes Island’s bathtubs are small and shallow … Someday I want to show you, too—the sea that I know. ","長い長い暗闇を抜けて、ようやく水面を割る――目を開くと、滴るように輝く満天の星が眼下に飛び込む、果てしなく広がる波が頬を撫でる、こぼれた涙は故郷と同じ、塩味がした。それに比べて、ロドスのバスタブは狭くて浅い…いつかあなたにも私の海を知ってもらいたいわ。",
"char_263_skadi","Skadi","闲置","Idle","睡着了？睡吧，Dr.{@nickname}，得做个干燥的好梦哟。","Are you asleep, Doctor? Good night. Hope no flood chases after you in your dreams.","ドクター、眠ってるの？おやすみ、水に追われることのないいい夢を見られるといいわね。",
"char_263_skadi","Skadi","干员报到","Operator Reporting In","斯卡蒂，赏金猎人。你真要签下我？我可是那种，会给你带来灾祸的人哦。","I’m Skadi, a bounty hunter. Do you really want to hire me? A catastrophe just might follow in my wake.","私はスカジ、バウンティハンターよ、あなた本気で私を雇うつもり？私がいれば、厄災を招くかもしれないのよ。",
"char_263_skadi","Skadi","观看作战记录","Watching Combat Tape","呯呯地冲过去，咚地打倒敌人，啪地解决掉——原来你们是这么战斗的，我记住啦。","Raaah, bam, pew pew … So that’s how you guys charge in and finish them off. Okay, I got it down.","これがあなたたちの戦い方ってわけね。ダァーといって、ドンっと倒して、パパっと片付ける――なるほど、憶えたわ。",
"char_263_skadi","Skadi","精英化晋升1","Elite 1","这个就是那个，罗德岛干员常说的晋升吗？感觉不错，好像自己真的变强了呢，大概？","This is what you guys at Rhodes Island call a promotion, not bad. Makes me feel like I actually became stronger. Yeah, probably.","これがロドスのみんながよく口にしている昇進ね？悪くない感触だわ、まるで本当に強くなったみたい、ええ、たぶんね？",
"char_263_skadi","Skadi","精英化晋升2","Elite 2","这样渴求我的力量，真的让我很困扰......如果你真的无所畏惧，那么做好准备，和我一起直面无边无际的黑暗吧。","I’m not used to someone depending on me so much … But if you are serious, hope you are ready to face that bottomless darkness head on with me.","そんなに求められると、結構困るのよ……でももしその覚悟があるのなら、私と一緒にあの果てしない闇と向き合う準備をしなさい。",
"char_263_skadi","Skadi","编入队伍","Assign to Team","我倒也挺擅长团队作战，只是......","It’s not that I’m not good fighting as a team, but …","チーム戦は割と得意だけど、ただ……",
"char_263_skadi","Skadi","任命队长","Assign to Team Leader","你是把大家的性命交到我手上了吗？","Do you want to entrust everyone’s lives to me?","みんなの命を私に預けるということかしら？",
"char_263_skadi","Skadi","行动出发","Operation Sortie","对手是人类的话，终归还是没什么手感。","They won’t pose much of a threat if the enemies are human.","相手が人間なら、あまり手ごたえはないかもね。",
"char_263_skadi","Skadi","行动开始","Operation Start","和我面对过的灾厄相比，你们也太弱了。","Compared to the catastrophe I fought through, this is nothing.","私が戦ってきた厄災と比べれば、全然たいしたことないわ。",
"char_263_skadi","Skadi","选中干员1","Selected Operator 1","听你的。","You’re the boss.","あなたに従うわ。",
"char_263_skadi","Skadi","选中干员2","Selected Operator 2","我习惯了独行。","I’m used to fighting solo.","単独行動は慣れてるのよ。",
"char_263_skadi","Skadi","部署1","Deploy 1","起舞吧。","I'll show you the dance of the abyss.","深海の舞を見せましょう。",
"char_263_skadi","Skadi","部署2","Deploy 2","小心为上。","Stay alert.","油断は禁物よ。",
"char_263_skadi","Skadi","作战中1","In Combat 1","谁知道潮湿的海草间蛰伏着什么？","What do you think might be creeping under a patch of floating seaweed?","水面に漂う海藻の奥になにが潜んでると思う？",
"char_263_skadi","Skadi","作战中2","In Combat 2","这把剑的过去可是很恐怖的。","You will be terrified if you knew what this sword has slain.","この剣の過去、知れば震え上がるわよ。",
"char_263_skadi","Skadi","作战中3","In Combat 3","纠缠着我的噩梦啊，唱个歌吧。","Hear the requiem of my loved ones!","この身に纏う悪夢よ、唄え。",
"char_263_skadi","Skadi","作战中4","In Combat 4","别眨眼，你会错过自己的死状。","Don’t blink. You just might miss how you die.","瞬きせずに、自分の死に様を見届けることね。",
"char_263_skadi","Skadi","4星结束行动","Complete Operation with 4 stars","我们活下来了。","We somehow made it through.","なんとか生き延びたわね。",
"char_263_skadi","Skadi","3星结束行动","Complete Operation with 3 stars","敌人怎么说，怎么想，都与我无关。我只知道他们会怎么倒下。","What my enemies say or think is none of my concern. I only care about how to strike them down.","敵がなんといおうと、どんな考えがあろうと、私には関係ない。どう倒せばいいかということにしか興味ないわ。",
"char_263_skadi","Skadi","非3星结束行动","Complete Operation with 2 stars","生疏了吗？到手的赏金会变少哟。","Have you been slacking? We will get paid less, you know.","腕がなまったのかしら？そんなことじゃ報酬が減るわよ。",
"char_263_skadi","Skadi","行动失败","Failed Operation","这种程度的不幸，也只是个开始罢了。","This unfortunate loss is only the beginning.","この程度の不幸なんて、まだ始まりに過ぎないのよ。",
"char_263_skadi","Skadi","进驻设施","Assign to Station","请给我安排个周围没人的房间。","Please assign me an isolated room.","周りに誰もいない部屋をお願い。",
"char_263_skadi","Skadi","戳一下","Poke","啊......帽子！","Ah, my hat!","あっ……帽子が！",
"char_263_skadi","Skadi","信赖触摸","Poke with Trust Bubble","离我那么近......我，我可没有能完全保护你的自信！","You’re too close … I-I can’t guarantee your safety yet!","ちょっと近いわ……ちゃ、ちゃんとあなたを守れる自信がないのに！",
"char_263_skadi","Skadi","标题","Title Screen","明日方舟。","ArKnights.","アークナイツ。",
"char_263_skadi","Skadi","问候","Greeting","注意安全，博士。","Stay safe, Doctor.","身の安全には気を配って ドクター。",
"char_277_sqrrel","Shaw","任命助理","Assign Secretary","已经准备好为您服务了，长官！",,,
"char_277_sqrrel","Shaw","交谈1","Conversation 1","为了安全起见，正在为您确认逃生路线和消防设备，请稍等片刻！",,,
"char_277_sqrrel","Shaw","交谈2","Conversation 2","过道内严禁烟火，请各位干员不要在走道吸烟，谢谢配合！",,,
"char_277_sqrrel","Shaw","交谈3","Conversation 3","为大家科普消防知识也是我职责的一部分就先从您开始吧长官！",,,
"char_277_sqrrel","Shaw","晋升后交谈1","Elite Promotion Conversation 1","别看我个子小，有些任务可是只有我才能完成的。",,,
"char_277_sqrrel","Shaw","晋升后交谈2","Elite Promotion Conversation 2","长官，我很紧张，其实......我不擅长说话......谢谢您......的关心！",,,
"char_277_sqrrel","Shaw","信赖提升后交谈1","High Trust Conversation 1","有时候，我一张嘴说话就停不下来，长官我会被讨厌吗......呜......",,,
"char_277_sqrrel","Shaw","信赖提升后交谈2","High Trust Conversation 2","长官，帮我，换下灯泡......我，够不着......啊，亮了。",,,
"char_277_sqrrel","Shaw","信赖提升后交谈3","High Trust Conversation 3","长官，她她她们又开始在房间里烧烤了，您快帮忙制止一下哎呀呀呀！谁把我的灭火器换成伊芙利特的喷火背包了啊啊啊啊！长官您没事吧！",,,
"char_277_sqrrel","Shaw","闲置","Idle","还有几分钟休息时间就结束了，长官您稍微注意一下。",,,
"char_277_sqrrel","Shaw","干员报到","Operator Reporting In","{@nickname}长官您好，龙门消防署警员阿消向您报道！",,,
"char_277_sqrrel","Shaw","观看作战记录","Watching Combat Tape","演习录像也是训练的一部分吗？",,,
"char_277_sqrrel","Shaw","精英化晋升1","Elite 1","多谢您的提拔，长官！",,,
"char_277_sqrrel","Shaw","精英化晋升2","Elite 2","这是...勋章?嗯，我会......加油的，为了大家，也为了您。",,,
"char_277_sqrrel","Shaw","编入队伍","Assign to Team","准备就绪。",,,
"char_277_sqrrel","Shaw","任命队长","Assign to Team Leader","听我指挥。",,,
"char_277_sqrrel","Shaw","行动出发","Operation Sortie","出勤！",,,
"char_277_sqrrel","Shaw","行动开始","Operation Start","火来了，大家快做准备！",,,
